K,Validation,Mean ARI,Median ARI,Std ARI,Minimum ARI,Maximum ARI,25th Percentile,75th Percentile,% Runs Above Threshold,Threshold,Runs
2,Seed-variation,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,10
2,Bootstrap,0.9195047157569696,0.949368666774818,0.0785115271923639,0.7124634683775605,1.0,0.8800563907047748,0.9756565207822031,0.96,0.75,50
3,Seed-variation,0.9812941031493653,0.9828568579057995,0.01012385797291138,0.9615305100720876,0.9935631782234478,0.9782285511416144,0.9885146976644266,1.0,0.75,10
3,Bootstrap,0.7907157952716726,0.846804711770408,0.18165513365925132,0.31573914971631983,1.0,0.77211123733711,0.919065195313623,0.78,0.75,50
4,Seed-variation,0.9953461553081254,0.9952703919037327,0.003785371562179071,0.9883616847097332,1.0,0.9930962308867742,0.9988175979759332,1.0,0.75,10
4,Bootstrap,0.6241786555242665,0.6462886755786352,0.1631518199695095,0.31877011561817514,0.8766722373585312,0.4940923015164064,0.7788095820720373,0.28,0.75,50
